svc,region,podname,avg_latency,outbound_rps,time,time_millis,old-us-east-1,old-us-west-1,new-us-east-1,new-us-west-1
sslateingress-us-west-1,us-west-1,sgpvx,382,0,2024-09-08 00:23:45.066453,1725755025066,0.3917910447761194,0.6082089552238806,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,260,0,2024-09-08 00:24:00.069441,1725755040069,0.370000,0.620000,0.390000,0.600000
sslateingress-us-west-1,us-west-1,sgpvx,258,0,2024-09-08 00:24:15.071306,1725755055071,0.390000,0.600000,0.410000,0.580000
sslateingress-us-west-1,us-west-1,sgpvx,263,0,2024-09-08 00:24:30.074937,1725755070074,0.410000,0.580000,0.390000,0.590000
sslateingress-us-west-1,us-west-1,sgpvx,257,0,2024-09-08 00:24:45.074537,1725755085074,0.390000,0.590000,0.410000,0.570000
sslateingress-us-west-1,us-west-1,sgpvx,321,0,2024-09-08 00:25:00.078759,1725755100078,0.410000,0.570000,0.390000,0.580000
sslateingress-us-west-1,us-west-1,sgpvx,303,0,2024-09-08 00:25:15.076811,1725755115076,0.3275862068965517,0.6724137931034483,0.340000,0.650000
sslateingress-us-west-1,us-west-1,sgpvx,293,0,2024-09-08 00:25:30.078747,1725755130078,0.38996138996138996,0.61003861003861,0.400000,0.590000
sslateingress-us-west-1,us-west-1,sgpvx,342,0,2024-09-08 00:25:45.077868,1725755145077,0.3770491803278688,0.6229508196721312,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,294,0,2024-09-08 00:26:00.080243,1725755160080,0.350000,0.640000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,434,0,2024-09-08 00:26:15.082974,1725755175082,0.3775933609958506,0.6224066390041494,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,269,0,2024-09-08 00:26:30.080336,1725755190080,0.350000,0.640000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,329,0,2024-09-08 00:26:45.082183,1725755205082,0.3218390804597701,0.6781609195402298,0.300000,0.690000
sslateingress-us-west-1,us-west-1,sgpvx,286,0,2024-09-08 00:27:00.081547,1725755220081,0.300000,0.690000,0.320000,0.670000
sslateingress-us-west-1,us-west-1,sgpvx,343,0,2024-09-08 00:27:15.082128,1725755235082,0.38671875,0.61328125,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,321,0,2024-09-08 00:27:30.083012,1725755250083,0.2948717948717949,0.7051282051282052,0.310000,0.680000
sslateingress-us-west-1,us-west-1,sgpvx,472,0,2024-09-08 00:27:45.085876,1725755265085,0.39501779359430605,0.604982206405694,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,275,0,2024-09-08 00:28:00.091162,1725755280091,0.3318777292576419,0.6681222707423581,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,296,0,2024-09-08 00:28:15.086380,1725755295086,0.350000,0.640000,0.330000,0.660000
sslateingress-us-west-1,us-west-1,sgpvx,422,0,2024-09-08 00:28:30.086950,1725755310086,0.23577235772357724,0.7642276422764228,0.210000,0.780000
sslateingress-us-west-1,us-west-1,sgpvx,283,0,2024-09-08 00:28:45.087124,1725755325087,0.398576512455516,0.6014234875444839,0.410000,0.580000
sslateingress-us-west-1,us-west-1,sgpvx,409,0,2024-09-08 00:29:00.084360,1725755340084,0.398576512455516,0.6014234875444839,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,339,0,2024-09-08 00:29:15.094622,1725755355094,0.3224043715846995,0.6775956284153005,0.340000,0.650000
sslateingress-us-west-1,us-west-1,sgpvx,316,0,2024-09-08 00:29:30.093030,1725755370093,0.340000,0.650000,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,270,0,2024-09-08 00:29:45.102756,1725755385102,0.360000,0.630000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,282,0,2024-09-08 00:30:00.094339,1725755400094,0.380000,0.610000,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,289,0,2024-09-08 00:30:15.094411,1725755415094,0.360000,0.630000,0.340000,0.650000
sslateingress-us-west-1,us-west-1,sgpvx,293,0,2024-09-08 00:30:30.095557,1725755430095,0.35294117647058826,0.6470588235294118,0.330000,0.660000
sslateingress-us-west-1,us-west-1,sgpvx,387,0,2024-09-08 00:30:45.098200,1725755445098,0.330000,0.660000,0.310000,0.680000
sslateingress-us-west-1,us-west-1,sgpvx,332,0,2024-09-08 00:31:00.095758,1725755460095,0.310000,0.680000,0.330000,0.660000
sslateingress-us-west-1,us-west-1,sgpvx,285,0,2024-09-08 00:31:15.103468,1725755475103,0.38783269961977185,0.6121673003802282,0.400000,0.590000
sslateingress-us-west-1,us-west-1,sgpvx,303,0,2024-09-08 00:31:30.104091,1725755490104,0.400000,0.590000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,312,0,2024-09-08 00:31:45.109631,1725755505109,0.380000,0.610000,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,294,0,2024-09-08 00:32:00.110541,1725755520110,0.360000,0.630000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,262,0,2024-09-08 00:32:15.106161,1725755535106,0.380000,0.610000,0.400000,0.590000
sslateingress-us-west-1,us-west-1,sgpvx,269,0,2024-09-08 00:32:30.109639,1725755550109,0.400000,0.590000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,307,0,2024-09-08 00:33:00.111930,1725755580111,0.40268456375838924,0.5973154362416108,0.420000,0.570000
sslateingress-us-west-1,us-west-1,sgpvx,293,0,2024-09-08 00:33:15.112119,1725755595112,0.420000,0.570000,0.440000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,276,0,2024-09-08 00:33:30.118175,1725755610118,0.440000,0.540000,0.460000,0.520000
sslateingress-us-west-1,us-west-1,sgpvx,265,0,2024-09-08 00:33:45.116941,1725755625116,0.460000,0.520000,0.480000,0.500000
sslateingress-us-west-1,us-west-1,sgpvx,326,0,2024-09-08 00:34:00.117107,1725755640117,0.38306451612903225,0.6169354838709677,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,337,0,2024-09-08 00:34:15.119719,1725755655119,0.31952662721893493,0.6804733727810651,0.290000,0.700000
sslateingress-us-west-1,us-west-1,sgpvx,342,0,2024-09-08 00:34:30.121935,1725755670121,0.3855421686746988,0.6144578313253012,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,255,0,2024-09-08 00:34:45.125944,1725755685125,0.360000,0.630000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,415,0,2024-09-08 00:35:00.123991,1725755700124,0.397887323943662,0.602112676056338,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,315,0,2024-09-08 00:35:15.126287,1725755715126,0.370000,0.620000,0.390000,0.600000
sslateingress-us-west-1,us-west-1,sgpvx,293,0,2024-09-08 00:35:30.125867,1725755730125,0.3375,0.6625,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,376,0,2024-09-08 00:35:45.129969,1725755745129,0.39568345323741005,0.60431654676259,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,337,0,2024-09-08 00:36:00.135383,1725755760135,0.40069686411149824,0.5993031358885017,0.420000,0.570000
sslateingress-us-west-1,us-west-1,sgpvx,311,0,2024-09-08 00:36:15.143660,1725755775143,0.420000,0.570000,0.440000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,323,0,2024-09-08 00:36:30.137193,1725755790137,0.304635761589404,0.695364238410596,0.280000,0.710000
sslateingress-us-west-1,us-west-1,sgpvx,314,0,2024-09-08 00:36:45.138144,1725755805138,0.280000,0.710000,0.300000,0.690000
sslateingress-us-west-1,us-west-1,sgpvx,418,0,2024-09-08 00:37:00.139398,1725755820139,0.30128205128205127,0.6987179487179487,0.280000,0.710000
sslateingress-us-west-1,us-west-1,sgpvx,338,0,2024-09-08 00:37:15.136208,1725755835136,0.3108108108108108,0.6891891891891891,0.330000,0.660000
sslateingress-us-west-1,us-west-1,sgpvx,343,0,2024-09-08 00:37:30.143343,1725755850143,0.330000,0.660000,0.310000,0.680000
sslateingress-us-west-1,us-west-1,sgpvx,310,0,2024-09-08 00:37:45.150432,1725755865150,0.310000,0.680000,0.330000,0.660000
sslateingress-us-west-1,us-west-1,sgpvx,266,0,2024-09-08 00:38:00.150117,1725755880150,0.330000,0.660000,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,264,0,2024-09-08 00:38:15.150163,1725755895150,0.350000,0.640000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,314,0,2024-09-08 00:38:30.152055,1725755910152,0.39492753623188404,0.605072463768116,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,291,0,2024-09-08 00:38:45.157912,1725755925157,0.370000,0.620000,0.390000,0.600000
sslateingress-us-west-1,us-west-1,sgpvx,340,0,2024-09-08 00:39:00.164109,1725755940164,0.30405405405405406,0.6959459459459459,0.280000,0.710000
sslateingress-us-west-1,us-west-1,sgpvx,322,0,2024-09-08 00:39:15.170107,1725755955170,0.280000,0.710000,0.300000,0.690000
sslateingress-us-west-1,us-west-1,sgpvx,362,0,2024-09-08 00:39:30.170749,1725755970170,0.398576512455516,0.6014234875444839,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,373,0,2024-09-08 00:39:45.172239,1725755985172,0.370000,0.620000,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,301,0,2024-09-08 00:40:00.177465,1725756000177,0.375,0.625,0.390000,0.600000
sslateingress-us-west-1,us-west-1,sgpvx,295,0,2024-09-08 00:40:15.176998,1725756015177,0.390000,0.600000,0.410000,0.580000
sslateingress-us-west-1,us-west-1,sgpvx,288,0,2024-09-08 00:40:30.179954,1725756030179,0.410000,0.580000,0.430000,0.550000
sslateingress-us-west-1,us-west-1,sgpvx,321,0,2024-09-08 00:40:45.181229,1725756045181,0.430000,0.550000,0.410000,0.570000
sslateingress-us-west-1,us-west-1,sgpvx,369,0,2024-09-08 00:41:00.180837,1725756060180,0.3780487804878049,0.6219512195121951,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,359,0,2024-09-08 00:41:15.182864,1725756075182,0.350000,0.640000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,262,0,2024-09-08 00:41:30.186155,1725756090186,0.370000,0.620000,0.390000,0.600000
sslateingress-us-west-1,us-west-1,sgpvx,272,0,2024-09-08 00:41:45.186613,1725756105186,0.390000,0.600000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,320,0,2024-09-08 00:42:00.187561,1725756120187,0.370000,0.620000,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,261,0,2024-09-08 00:42:15.187708,1725756135187,0.350000,0.640000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,264,0,2024-09-08 00:42:30.210277,1725756150210,0.370000,0.620000,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,282,0,2024-09-08 00:42:45.214125,1725756165214,0.29931972789115646,0.7006802721088435,0.270000,0.720000
sslateingress-us-west-1,us-west-1,sgpvx,299,0,2024-09-08 00:43:00.211717,1725756180211,0.270000,0.720000,0.250000,0.740000
sslateingress-us-west-1,us-west-1,sgpvx,297,0,2024-09-08 00:43:15.214970,1725756195214,0.250000,0.740000,0.270000,0.720000
sslateingress-us-west-1,us-west-1,sgpvx,304,0,2024-09-08 00:43:30.222221,1725756210222,0.37117903930131,0.62882096069869,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,285,0,2024-09-08 00:43:45.222287,1725756225222,0.350000,0.640000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,265,0,2024-09-08 00:44:00.220412,1725756240220,0.370000,0.620000,0.390000,0.600000
sslateingress-us-west-1,us-west-1,sgpvx,308,0,2024-09-08 00:44:15.221311,1725756255221,0.390000,0.600000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,348,0,2024-09-08 00:44:30.223141,1725756270223,0.3895131086142322,0.6104868913857678,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,310,0,2024-09-08 00:44:45.227344,1725756285227,0.3917910447761194,0.6082089552238806,0.410000,0.580000
sslateingress-us-west-1,us-west-1,sgpvx,307,0,2024-09-08 00:45:00.224632,1725756300224,0.410000,0.580000,0.430000,0.550000
sslateingress-us-west-1,us-west-1,sgpvx,322,0,2024-09-08 00:45:15.229316,1725756315229,0.430000,0.550000,0.410000,0.570000
sslateingress-us-west-1,us-west-1,sgpvx,278,0,2024-09-08 00:45:30.230017,1725756330230,0.410000,0.570000,0.430000,0.540000
sslateingress-us-west-1,us-west-1,sgpvx,377,0,2024-09-08 00:45:45.228391,1725756345228,0.3120567375886525,0.6879432624113475,0.290000,0.700000
sslateingress-us-west-1,us-west-1,sgpvx,299,0,2024-09-08 00:46:00.237115,1725756360237,0.290000,0.700000,0.300000,0.680000
sslateingress-us-west-1,us-west-1,sgpvx,289,0,2024-09-08 00:46:15.242043,1725756375242,0.300000,0.680000,0.320000,0.660000
sslateingress-us-west-1,us-west-1,sgpvx,315,0,2024-09-08 00:46:30.245075,1725756390245,0.320000,0.660000,0.300000,0.680000
sslateingress-us-west-1,us-west-1,sgpvx,273,0,2024-09-08 00:46:45.245642,1725756405245,0.300000,0.680000,0.320000,0.660000
sslateingress-us-west-1,us-west-1,sgpvx,281,0,2024-09-08 00:47:00.249996,1725756420250,0.320000,0.660000,0.300000,0.680000
sslateingress-us-west-1,us-west-1,sgpvx,257,0,2024-09-08 00:47:15.254270,1725756435254,0.300000,0.680000,0.320000,0.660000
sslateingress-us-west-1,us-west-1,sgpvx,282,0,2024-09-08 00:47:30.258804,1725756450258,0.320000,0.660000,0.300000,0.680000
sslateingress-us-west-1,us-west-1,sgpvx,342,0,2024-09-08 00:47:45.258011,1725756465258,0.300000,0.680000,0.280000,0.700000
sslateingress-us-west-1,us-west-1,sgpvx,279,0,2024-09-08 00:48:00.261492,1725756480261,0.280000,0.700000,0.300000,0.680000
sslateingress-us-west-1,us-west-1,sgpvx,381,0,2024-09-08 00:48:15.260179,1725756495260,0.2714285714285714,0.7285714285714285,0.250000,0.740000
sslateingress-us-west-1,us-west-1,sgpvx,329,0,2024-09-08 00:48:30.261363,1725756510261,0.3482587064676617,0.6517412935323383,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,272,0,2024-09-08 00:48:45.266275,1725756525266,0.360000,0.630000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,277,0,2024-09-08 00:49:00.265697,1725756540265,0.380000,0.610000,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,271,0,2024-09-08 00:49:15.270981,1725756555270,0.360000,0.630000,0.380000,0.610000
sslateingress-us-west-1,us-west-1,sgpvx,308,0,2024-09-08 00:49:30.273244,1725756570273,0.380000,0.610000,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,326,0,2024-09-08 00:49:45.268746,1725756585268,0.360000,0.630000,0.340000,0.650000
sslateingress-us-west-1,us-west-1,sgpvx,355,0,2024-09-08 00:50:00.271202,1725756600271,0.340000,0.650000,0.320000,0.670000
sslateingress-us-west-1,us-west-1,sgpvx,334,0,2024-09-08 00:50:15.270238,1725756615270,0.320000,0.670000,0.340000,0.650000
sslateingress-us-west-1,us-west-1,sgpvx,255,0,2024-09-08 00:50:30.268443,1725756630268,0.340000,0.650000,0.360000,0.630000
sslateingress-us-west-1,us-west-1,sgpvx,428,0,2024-09-08 00:50:45.276829,1725756645276,0.35802469135802467,0.6419753086419753,0.330000,0.660000
sslateingress-us-west-1,us-west-1,sgpvx,298,0,2024-09-08 00:51:00.283626,1725756660283,0.330000,0.660000,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,273,0,2024-09-08 00:51:15.284714,1725756675284,0.350000,0.640000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,267,0,2024-09-08 00:51:30.288862,1725756690288,0.370000,0.620000,0.390000,0.600000
sslateingress-us-west-1,us-west-1,sgpvx,302,0,2024-09-08 00:51:45.292793,1725756705292,0.390000,0.600000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,306,0,2024-09-08 00:52:00.290329,1725756720290,0.370000,0.620000,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,261,0,2024-09-08 00:52:15.287947,1725756735287,0.350000,0.640000,0.370000,0.620000
sslateingress-us-west-1,us-west-1,sgpvx,339,0,2024-09-08 00:52:30.288077,1725756750288,0.370000,0.620000,0.350000,0.640000
sslateingress-us-west-1,us-west-1,sgpvx,362,0,2024-09-08 00:52:45.290644,1725756765290,0.3497536945812808,0.6502463054187192,0.320000,0.670000
sslateingress-us-west-1,us-west-1,sgpvx,345,0,2024-09-08 00:53:00.290469,1725756780290,0.320000,0.670000,0.340000,0.650000
sslateingress-us-west-1,us-west-1,sgpvx,294,0,2024-09-08 00:53:15.290560,1725756795290,0.340000,0.650000,0.360000,0.630000
